english_sentence,alc_statement
Every researcher is a student that owns at least one company.,Researcher ⊑ Student ⊓ ∃owns.Company
Every library is both a publication and a patient.,Library ⊑ Publication ⊓ Patient
Whatever is both a software and a doctor reads a machine.,Software ⊓ Doctor ⊑ ∃reads.Machine
All students are doctors.,Student ⊑ Doctor
Every scientist attends only students.,Scientist ⊑ ∀attends.Student
Every music that reads a bank is a software.,Music ⊓ ∃reads.Bank ⊑ Software
Every company is both a product and a machine.,Company ⊑ Product ⊓ Machine
A course is neither a bank nor a order.,Course ⊑ ¬(Bank ⊔ Order)
All cats are projects as well as vehicles.,Cat ⊑ Project ⊓ Vehicle
A customer is always a patient.,Customer ⊑ Patient
Anything that buys only teachers.,∀buys.Teacher
"If a researcher operates anything, it must be a customer.",Researcher ⊑ ∀operates.Customer
A artist or a engineer.,Artist ⊔ Engineer
A account and a manager.,Account ⊓ Manager
Every car is both a organization and a doctor.,Car ⊑ Organization ⊓ Doctor
Every company knows at least one service.,Company ⊑ ∃knows.Service
Nothing that is a food is a plant.,Food ⊑ ¬Plant
All musics are banks as well as librarys.,Music ⊑ Bank ⊓ Library
Anything that designs only courses.,∀designs.Course
Every customer is both a course and a service.,Customer ⊑ Course ⊓ Service
Every bank is a hardware that creates at least one car.,Bank ⊑ Hardware ⊓ ∃creates.Car
Every teacher is either a employee or a car.,Teacher ⊑ Employee ⊔ Car
Every company develops at least one manager.,Company ⊑ ∃develops.Manager
Whatever is both a account and a dog funds a vehicle.,Account ⊓ Dog ⊑ ∃funds.Vehicle
Anything that treats a music.,∃treats.Music
All hardwares are publications as well as citys.,Hardware ⊑ Publication ⊓ City
All suppliers are machines as well as orders.,Supplier ⊑ Machine ⊓ Order
Every hospital is both a publication and a university.,Hospital ⊑ Publication ⊓ University
A employee is neither a researcher nor a project.,Employee ⊑ ¬(Researcher ⊔ Project)
Nothing that is a library is a order.,Library ⊑ ¬Order
Every customer uses at least one scientist.,Customer ⊑ ∃uses.Scientist
All librarys are hardwares as well as persons.,Library ⊑ Hardware ⊓ Person
No library is a software.,Library ⊑ ¬Software
Every order is either a researcher or a organization.,Order ⊑ Researcher ⊔ Organization
